responses,correct,direction,categories,match,rot1,rot2,known,trial,block,threshold
1,0,3,0,0,2.3562,2.7489,0,0,0,66.98
1,1,4,0,1,3.1416,3.1416,0,1,0,66.98
1,0,0,0,0,0,-1.1781,0,2,0,66.98
1,1,5,0,1,3.927,3.927,0,3,0,66.98
-1,1,1,0,0,0.7854,1.9635,0,4,0,66.98
-1,0,6,0,1,4.7124,4.7124,0,5,0,66.98
1,1,7,0,1,5.4978,5.4978,0,6,0,66.98
1,0,2,0,0,1.5708,1.9635,0,7,0,66.98
1,0,4,0,0,3.1416,2.7489,0,8,0,66.98
1,1,2,0,1,1.5708,1.5708,0,9,0,66.98
-1,0,6,0,1,4.7124,4.7124,0,10,0,66.98
-1,1,3,0,0,2.3562,1.1781,0,11,0,66.98
1,1,1,0,1,0.7854,0.7854,0,12,0,66.98
-1,1,7,0,0,5.4978,4.7124,0,13,0,66.98
1,0,0,0,0,0,0.3927,0,14,0,66.98
1,1,5,0,1,3.927,3.927,0,15,0,66.98
1,0,3,0,0,2.3562,1.1781,0,16,0,66.98
-1,0,0,0,1,0,0,0,17,0,66.98
1,0,7,0,0,5.4978,5.8905,0,18,0,66.98
1,1,6,0,1,4.7124,4.7124,0,19,0,66.98
1,1,1,0,1,0.7854,0.7854,0,20,0,66.98
1,0,5,0,0,3.927,3.1416,0,21,0,66.98
-1,1,4,0,0,3.1416,1.9635,0,22,0,66.98
1,1,2,0,1,1.5708,1.5708,0,23,0,66.98
1,1,3,0,1,2.3562,2.3562,0,24,0,66.98
1,0,4,0,0,3.1416,3.5343,0,0,1,66.98
1,1,5,0,1,3.927,3.927,0,1,1,66.98
1,1,0,0,1,0,0,0,2,1,66.98
-1,1,2,0,0,1.5708,0.7854,0,3,1,66.98
1,0,6,0,0,4.7124,3.5343,0,4,1,66.98
-1,0,1,0,1,0.7854,0.7854,0,5,1,66.98
1,1,7,0,1,5.4978,5.4978,0,6,1,66.98
1,0,3,0,0,2.3562,3.1416,0,7,1,66.98
1,0,3,0,0,2.3562,2.7489,0,8,1,66.98
1,1,4,0,1,3.1416,3.1416,0,9,1,66.98
-1,1,5,0,0,3.927,3.1416,0,10,1,66.98
1,1,2,0,1,1.5708,1.5708,0,11,1,66.98
1,1,6,0,1,4.7124,4.7124,0,12,1,66.98
-1,1,1,0,0,0.7854,-0.3927,0,13,1,66.98
1,1,0,0,1,0,0,0,14,1,66.98
-1,1,7,0,0,5.4978,4.7124,0,15,1,66.98
1,1,5,0,1,3.927,3.927,0,16,1,66.98
-1,1,1,0,0,0.7854,1.9635,0,17,1,66.98
1,1,2,0,1,1.5708,1.5708,0,18,1,66.98
-1,1,4,0,0,3.1416,3.927,0,19,1,66.98
1,1,0,0,1,0,0,0,20,1,66.98
-1,1,6,0,0,4.7124,5.1051,0,21,1,66.98
-1,1,7,0,0,5.4978,4.3197,0,22,1,66.98
1,1,3,0,1,2.3562,2.3562,0,23,1,66.98
1,1,6,0,1,4.7124,4.7124,0,24,1,66.98
1,1,7,0,1,5.4978,5.4978,0,0,2,66.98
1,0,0,0,0,0,-1.1781,0,1,2,66.98
